lat,lon,elevation
48.0,5.0,312.92010498046875
48.0,5.1,353.8055725097656
48.0,5.199999999999999,402.3609924316406
48.0,5.299999999999999,380.7851257324219
48.0,5.399999999999999,462.4312744140625
48.0,5.499999999999998,396.106689453125
48.0,5.599999999999998,389.2205810546875
48.0,5.6999999999999975,295.7429504394531
48.0,5.799999999999997,361.052490234375
48.0,5.899999999999997,240.7904510498047
48.0,5.9999999999999964,337.81549072265625
48.0,6.099999999999996,443.18780517578125
48.0,6.199999999999996,309.8265686035156
48.0,6.299999999999995,421.571044921875
48.0,6.399999999999995,487.20452880859375
48.0,6.499999999999995,592.8329467773438
48.0,6.599999999999994,664.8237915039062
48.0,6.699999999999994,538.073974609375
48.0,6.799999999999994,994.38427734375
48.0,6.899999999999993,765.5997314453125
48.0,6.999999999999993,754.20703125
48.0,7.0999999999999925,858.6653442382812
48.0,7.199999999999992,652.446044921875
48.0,7.299999999999992,196.87570190429688
48.0,7.3999999999999915,198.49664306640625
48.0,7.499999999999991,196.5052032470703
48.0,7.599999999999991,190.33843994140625
48.0,7.69999999999999,247.6813507080078
48.0,7.79999999999999,240.88265991210938
48.0,7.89999999999999,461.8824157714844
48.0,7.999999999999989,552.9065551757812
48.0,8.099999999999989,905.9131469726562
48.0,8.199999999999989,1018.6022338867188
48.0,8.299999999999988,925.9725952148438
48.0,8.399999999999988,777.9335327148438
48.0,8.499999999999988,707.4857788085938
48.0,8.599999999999987,726.8287963867188
48.0,8.699999999999987,744.3623657226562
48.0,8.799999999999986,827.9652099609375
48.0,8.899999999999986,802.620361328125
48.0,8.999999999999986,740.3984375
48.0,9.099999999999985,635.6168212890625
48.0,9.199999999999985,610.348876953125
48.0,9.299999999999985,659.3892211914062
48.0,9.399999999999984,626.7093505859375
48.0,9.499999999999984,621.0519409179688
48.0,9.599999999999984,678.6167602539062
48.0,9.699999999999983,568.4508666992188
48.0,9.799999999999983,657.6718139648438
48.0,9.899999999999983,673.0797729492188
48.0,9.999999999999982,648.3782958984375
48.0,10.099999999999982,582.7132568359375
48.0,10.199999999999982,590.7215576171875
48.0,10.299999999999981,607.8246459960938
48.0,10.39999999999998,679.8892211914062
48.0,10.49999999999998,633.85302734375
48.0,10.59999999999998,629.7559814453125
48.0,10.69999999999998,629.5946044921875
48.0,10.79999999999998,642.8450317382812
48.0,10.899999999999979,659.0653686523438
48.0,10.999999999999979,649.51416015625
48.0,11.099999999999978,531.9940185546875
48.0,11.199999999999978,647.21240234375
48.0,11.299999999999978,696.3422241210938
48.0,11.399999999999977,681.443115234375
48.0,11.499999999999977,636.385498046875
48.0,11.599999999999977,620.5009765625
48.0,11.699999999999976,594.0623168945312
48.0,11.799999999999976,623.1363525390625
48.0,11.899999999999975,609.73828125
48.0,11.999999999999975,485.8570861816406
48.0,12.099999999999975,510.1839904785156
48.0,12.199999999999974,473.0742492675781
48.0,12.299999999999974,510.6890563964844
48.0,12.399999999999974,573.0458374023438
48.0,12.499999999999973,538.3060913085938
48.0,12.599999999999973,542.3004760742188
48.0,12.699999999999973,543.552490234375
48.0,12.799999999999972,397.53070068359375
48.0,12.899999999999972,448.51055908203125
48.0,12.999999999999972,426.4435119628906
48.0,13.099999999999971,506.0657653808594
48.0,13.19999999999997,587.3436889648438
48.0,13.29999999999997,602.1708984375
48.0,13.39999999999997,590.690185546875
48.0,13.49999999999997,537.9165649414062
48.0,13.59999999999997,456.27044677734375
48.0,13.699999999999969,471.4798278808594
48.0,13.799999999999969,429.0582275390625
48.0,13.899999999999968,453.6966247558594
48.0,13.999999999999968,443.8150939941406
48.0,14.099999999999968,448.2296447753906
48.0,14.199999999999967,424.7461242675781
48.0,14.299999999999967,380.46942138671875
48.0,14.399999999999967,300.3113098144531
48.0,14.499999999999966,481.2979736328125
48.0,14.599999999999966,409.9906005859375
48.0,14.699999999999966,430.8821716308594
48.0,14.799999999999965,607.9322509765625
48.0,14.899999999999965,683.4927368164062
48.0,14.999999999999964,416.4052429199219
48.0,15.099999999999964,461.3330078125
48.0,15.199999999999964,833.2689208984375
48.0,15.299999999999963,798.3736572265625
48.0,15.399999999999963,426.3077392578125
48.0,15.499999999999963,750.7678833007812
48.0,15.599999999999962,482.685791015625
48.0,15.699999999999962,946.2647705078125
48.0,15.799999999999962,517.2572631835938
48.0,15.899999999999961,651.8319091796875
48.0,16.0,658.074951171875
47.9,5.0,394.46173095703125
47.9,5.1,336.1178894042969
47.9,5.199999999999999,389.6585998535156
47.9,5.299999999999999,329.1355895996094
47.9,5.399999999999999,397.887939453125
47.9,5.499999999999998,393.4042053222656
47.9,5.599999999999998,382.8571472167969
47.9,5.6999999999999975,284.96441650390625
47.9,5.799999999999997,294.19781494140625
47.9,5.899999999999997,293.27655029296875
47.9,5.9999999999999964,260.5144958496094
47.9,6.099999999999996,302.2110290527344
47.9,6.199999999999996,290.5184631347656
47.9,6.299999999999995,260.2264099121094
47.9,6.399999999999995,332.6953430175781
47.9,6.499999999999995,611.2557983398438
47.9,6.599999999999994,648.8131713867188
47.9,6.699999999999994,671.3529663085938
47.9,6.799999999999994,765.4654541015625
47.9,6.899999999999993,946.9231567382812
47.9,6.999999999999993,707.0662231445312
47.9,7.0999999999999925,1398.5201416015625
47.9,7.199999999999992,453.8643798828125
47.9,7.299999999999992,216.59194946289062
47.9,7.3999999999999915,211.52101135253906
47.9,7.499999999999991,215.0662841796875
47.9,7.599999999999991,209.65841674804688
47.9,7.69999999999999,247.8973846435547
47.9,7.79999999999999,446.5323181152344
